Capacity,Batch Size,K,Insertion,Sampling
1000,32,2,0.015879938146099448,0.00762236095033586
1000,64,2,0.01586863584816456,0.010241940850391984
1000,128,2,0.018279145937412977,0.016229088185355067
1000,256,2,0.022425682982429862,0.02804301492869854
1000,512,2,0.029678541934117675,0.051182703813537955
1000,32,4,0.015123727032914758,0.007039701100438833
1000,64,4,0.015950853936374187,0.009615641087293625
1000,128,4,0.017183243995532393,0.014629520010203123
1000,256,4,0.020851472858339548,0.025187560124322772
1000,512,4,0.026335784001275897,0.044745191000401974
1000,32,8,0.015093005960807204,0.006775990128517151
1000,64,8,0.016068025026470423,0.009082888020202518
1000,128,8,0.017127855913713574,0.013951359083876014
1000,256,8,0.020182237029075623,0.023239000933244824
1000,512,8,0.025866547133773565,0.042332286946475506
1000,32,16,0.01518960390239954,0.006893623853102326
1000,64,16,0.015600180020555856,0.009155713021755219
1000,128,16,0.016918279929086566,0.013775228057056665
1000,256,16,0.020080769900232553,0.02322557009756565
1000,512,16,0.024821339873597026,0.041603354969993234
1000,32,32,0.015023963991552591,0.007106106961145997
1000,64,32,0.01593967597000301,0.009578861994668841
1000,128,32,0.017128310864791274,0.015064263017848134
1000,256,32,0.019559001782909036,0.02519825380295515
1000,512,32,0.024548840010538697,0.04619474709033966
1000,32,64,0.015172844054177403,0.007479606894776225
1000,64,64,0.01565174199640751,0.010309861972928047
1000,128,64,0.016930500976741314,0.016393024008721113
1000,256,64,0.019648275105282664,0.027708332054316998
1000,512,64,0.024144661147147417,0.05206600297242403
10000,32,2,0.01640712097287178,0.008520120987668633
10000,64,2,0.017813225043937564,0.012412577867507935
10000,128,2,0.020554990973323584,0.02020797017030418
10000,256,2,0.026955625973641872,0.03578736097551882
10000,512,2,0.03859222400933504,0.06620014109648764
10000,32,4,0.015769280027598143,0.00807417114265263
10000,64,4,0.016982102068141103,0.011393070919439197
10000,128,4,0.019892066018655896,0.01832792302593589
10000,256,4,0.02516471897251904,0.03181728394702077
10000,512,4,0.034936255076900125,0.058606827864423394
10000,32,8,0.01597757893614471,0.007753150071948766
10000,64,8,0.016940610017627478,0.010850599966943264
10000,128,8,0.019228283083066344,0.01725803781300783
10000,256,8,0.0247106880415231,0.02979151881299913
10000,512,8,0.033451474038884044,0.054407653864473104
10000,32,16,0.01581282587721944,0.007818561978638172
10000,64,16,0.017150934785604477,0.010987343033775687
10000,128,16,0.01921480894088745,0.017486290773376822
10000,256,16,0.023659694008529186,0.0304854700807482
10000,512,16,0.03261740389280021,0.055756735149770975
10000,32,32,0.015689417952671647,0.008025353075936437
10000,64,32,0.016697124112397432,0.011408548103645444
10000,128,32,0.018928945995867252,0.018348676851019263
10000,256,32,0.02352177700959146,0.03201139089651406
10000,512,32,0.03185778018087149,0.05896268296055496
10000,32,64,0.015694458968937397,0.00913076288998127
10000,64,64,0.016936816973611712,0.013506677001714706
10000,128,64,0.01885910821147263,0.022620790172368288
10000,256,64,0.023425064980983734,0.04042213503271341
10000,512,64,0.03204722795635462,0.0755297380965203
100000,32,2,0.0164259469602257,0.009495103964582086
100000,64,2,0.017754022032022476,0.014467010973021388
100000,128,2,0.02104114810936153,0.024309467989951372
100000,256,2,0.027357974089682102,0.04422428295947611
100000,512,2,0.03909191093407571,0.08266942901536822
100000,32,4,0.01629698509350419,0.008815008215606213
100000,64,4,0.016952231992036104,0.012992792995646596
100000,128,4,0.019527948927134275,0.021401450037956238
100000,256,4,0.02445878298021853,0.03805121104232967
100000,512,4,0.03287334810011089,0.07053543883375823
100000,32,8,0.015801609959453344,0.008428602945059538
100000,64,8,0.01671729888767004,0.01235349802300334
100000,128,8,0.018889733823016286,0.02015085401944816
100000,256,8,0.023204853991046548,0.03565302793867886
100000,512,8,0.030969344777986407,0.066262201173231
100000,32,16,0.015779881039634347,0.008662767009809613
100000,64,16,0.016822447068989277,0.012635099003091455
100000,128,16,0.01875269296579063,0.020847228122875094
100000,256,16,0.023060105042532086,0.036912019131705165
100000,512,16,0.030391328036785126,0.06876640091650188
100000,32,32,0.015845187939703465,0.009117932058870792
100000,64,32,0.016731407959014177,0.013695133849978447
100000,128,32,0.0184964700601995,0.0228711839299649
100000,256,32,0.022214407101273537,0.04105695593170822
100000,512,32,0.029410419054329395,0.07694619498215616
100000,32,64,0.015764032024890184,0.010029625846073031
100000,64,64,0.016305043129250407,0.015576473902910948
100000,128,64,0.01827623904682696,0.02628033491782844
100000,256,64,0.023000170942395926,0.04794023814611137
100000,512,64,0.028716142987832427,0.09062546491622925
1000000,32,2,0.017639108933508396,0.011199117871001363
1000000,64,2,0.01985709206201136,0.017932676943019032
1000000,128,2,0.02376984804868698,0.0309149909298867
1000000,256,2,0.03271274012513459,0.05716945510357618
1000000,512,2,0.049288184149190784,0.11016218713484704
1000000,32,4,0.016753593925386667,0.010097055928781629
1000000,64,4,0.017994167050346732,0.015649274922907352
1000000,128,4,0.020166490925475955,0.026709869038313627
1000000,256,4,0.025729499058797956,0.04865836398676038
1000000,512,4,0.035612577106803656,0.09218573197722435
1000000,32,8,0.0166410889942199,0.009751599049195647
1000000,64,8,0.017350862035527825,0.014883948024362326
1000000,128,8,0.019183139083907008,0.025072927121073008
1000000,256,8,0.02386067295446992,0.04584141611121595
1000000,512,8,0.03157088905572891,0.08587515098042786
1000000,32,16,0.01611135504208505,0.009947245009243488
1000000,64,16,0.01697471085935831,0.015162470983341336
1000000,128,16,0.018867461010813713,0.025500955991446972
1000000,256,16,0.022880620090290904,0.046314914943650365
1000000,512,16,0.03029241901822388,0.08738465700298548
1000000,32,32,0.015970146050676703,0.010445242980495095
1000000,64,32,0.016774269985035062,0.01666001509875059
1000000,128,32,0.01843589195050299,0.028382342075929046
1000000,256,32,0.02243304904550314,0.05190627695992589
1000000,512,32,0.02940026903524995,0.10071923001669347
1000000,32,64,0.016700943000614643,0.012568162055686116
1000000,64,64,0.016872307052835822,0.019395238952711225
1000000,128,64,0.018493035109713674,0.03386757103726268
1000000,256,64,0.022405456053093076,0.06325592310167849
1000000,512,64,0.02907023997977376,0.12150162202306092
10000000,32,2,0.0218502061907202,0.01397366402670741
10000000,64,2,0.02725649089552462,0.02410127315670252
10000000,128,2,0.039368450874462724,0.04549730592407286
10000000,256,2,0.06401472189463675,0.08855428313836455
10000000,512,2,0.11138041294179857,0.17446995177306235
10000000,32,4,0.01890671206638217,0.0121319480240345
10000000,64,4,0.02165478700771928,0.019867895869538188
10000000,128,4,0.027816726127639413,0.03614364913664758
10000000,256,4,0.04104028083384037,0.0695706179831177
10000000,512,4,0.06608941406011581,0.13617632305249572
10000000,32,8,0.018083399161696434,0.011946181999519467
10000000,64,8,0.02084233984351158,0.019079289864748716
10000000,128,8,0.026063502999022603,0.0339448198210448
10000000,256,8,0.037012296030297875,0.06513735791668296
10000000,512,8,0.05888527398929,0.12755509209819138
10000000,32,16,0.01745812315493822,0.02358919382095337
10000000,64,16,0.02170304604806006,0.019354548072442412
10000000,128,16,0.023716905154287815,0.03424086584709585
10000000,256,16,0.0332673960365355,0.06540945591405034
10000000,512,16,0.05083655193448067,0.1284753519576043
10000000,32,32,0.017233848804607987,0.013261706102639437
10000000,64,32,0.019356621894985437,0.021473239175975323
10000000,128,32,0.023567253025248647,0.038368584122508764
10000000,256,32,0.03225488401949406,0.07348936097696424
10000000,512,32,0.04953903495334089,0.14442195207811892
10000000,32,64,0.01737144705839455,0.015080173034220934
10000000,64,64,0.019359802827239037,0.024876008043065667
10000000,128,64,0.023039933992549777,0.04551675706170499
10000000,256,64,0.0317533069755882,0.08771561994217336
10000000,512,64,0.04745545401237905,0.1695632638875395
