Capacity,Batch Size,Tree,Insertion,Sampling
1024,128,rllib,1.5716975890100002,0.644287581089884
16384,128,rllib,2.158137354068458,0.8434362809639424
131072,128,rllib,2.6240030319895595,1.035349062178284
1048576,128,rllib,3.1306144068948925,1.2554302860517055
1024,128,tianshou,0.03353916201740503,0.023844656068831682
16384,128,tianshou,0.037220143945887685,0.027049754047766328
131072,128,tianshou,0.042120748199522495,0.029460425954312086
1048576,128,tianshou,0.05731376586481929,0.034094231901690364
1024,128,ours,0.01627431297674775,0.01354552200064063
16384,128,ours,0.01646125502884388,0.016830084146931767
131072,128,ours,0.021253224927932024,0.020153189077973366
1048576,128,ours,0.017789804842323065,0.023919657804071903
